epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2595.48,0.70863,0.49515,1.09995,0.92816,0.77835,0.86667,0.66564,1.22613,0.68198,1.06454,0.000444764,0.000444764,0.000444764
96,2622.35,0.7272,0.50115,1.08542,0.90939,0.80283,0.86273,0.6619,1.21815,0.679,1.09468,0.000433571,0.000433571,0.000433571
97,2649.31,0.73291,0.50823,1.09208,0.83321,0.84734,0.86831,0.67625,1.18801,0.63733,1.06863,0.000422444,0.000422444,0.000422444
98,2676.63,0.72198,0.49982,1.0958,0.84544,0.81966,0.86273,0.66466,1.19465,0.64045,1.08278,0.000411388,0.000411388,0.000411388
99,2703.45,0.72918,0.49495,1.089,0.90741,0.79138,0.85869,0.67272,1.1731,0.64902,1.04238,0.000400406,0.000400406,0.000400406
100,2730.3,0.70468,0.48514,1.08268,0.86851,0.80161,0.86041,0.68162,1.20208,0.65835,1.02309,0.000389505,0.000389505,0.000389505
101,2757.49,0.71501,0.49906,1.09527,0.8651,0.8179,0.86341,0.67423,1.19106,0.61865,1.06807,0.000378686,0.000378686,0.000378686
102,2784.29,0.72788,0.49386,1.06111,0.88513,0.79508,0.86552,0.67872,1.20496,0.67056,1.02173,0.000367955,0.000367955,0.000367955
103,2811.24,0.72835,0.47674,1.05795,0.86696,0.79081,0.85848,0.67891,1.18467,0.62465,1.06317,0.000357316,0.000357316,0.000357316
104,2838.02,0.69872,0.47373,1.07008,0.9064,0.80953,0.87254,0.68333,1.12543,0.61006,1.07235,0.000346773,0.000346773,0.000346773
105,2865.31,0.68962,0.4588,1.07976,0.85882,0.83003,0.85966,0.66569,1.21835,0.64013,1.05613,0.00033633,0.00033633,0.00033633
106,2892.22,0.70642,0.47842,1.063,0.86439,0.83641,0.8705,0.67561,1.18128,0.63167,1.073,0.00032599,0.00032599,0.00032599
107,2919.2,0.70518,0.45513,1.08162,0.81771,0.82456,0.85099,0.67381,1.19872,0.70811,1.02344,0.000315759,0.000315759,0.000315759
108,2946.06,0.67922,0.45049,1.09942,0.87792,0.81506,0.8719,0.67225,1.21989,0.70806,1.0554,0.00030564,0.00030564,0.00030564
109,2972.92,0.73172,0.46282,1.09421,0.88767,0.80543,0.87649,0.6738,1.21456,0.66009,1.0519,0.000295636,0.000295636,0.000295636
110,2999.8,0.7281,0.48921,1.07705,0.84651,0.86324,0.87338,0.67624,1.20052,0.6414,1.03456,0.000285752,0.000285752,0.000285752
111,3026.71,0.71546,0.47294,1.06601,0.86425,0.8521,0.87283,0.68073,1.18523,0.64533,1.04209,0.000275991,0.000275991,0.000275991
112,3053.59,0.72992,0.44812,1.0911,0.82392,0.85955,0.85966,0.66474,1.1775,0.61725,1.05185,0.000266358,0.000266358,0.000266358
113,3080.56,0.65482,0.43094,1.07622,0.89495,0.78984,0.852,0.65088,1.18206,0.58775,1.03412,0.000256856,0.000256856,0.000256856
114,3107.6,0.67857,0.44416,1.04297,0.86081,0.82497,0.86028,0.66673,1.19138,0.63086,1.01423,0.000247488,0.000247488,0.000247488
115,3134.5,0.66112,0.43354,1.04454,0.85801,0.85642,0.87859,0.68517,1.15909,0.59135,0.99747,0.000238258,0.000238258,0.000238258
116,3161.69,0.68487,0.43458,1.05475,0.83375,0.83882,0.85584,0.67075,1.17009,0.55828,0.99544,0.00022917,0.00022917,0.00022917
117,3188.64,0.68955,0.43996,1.06718,0.85971,0.8356,0.87856,0.68751,1.1611,0.55202,0.99389,0.000220228,0.000220228,0.000220228
118,3216.01,0.67114,0.41788,1.03489,0.85341,0.86809,0.88258,0.69968,1.14474,0.55487,0.99981,0.000211434,0.000211434,0.000211434
119,3243.42,0.68797,0.44156,1.034,0.88674,0.81928,0.8721,0.68711,1.18384,0.61064,0.99998,0.000202792,0.000202792,0.000202792
120,3270.2,0.69278,0.43862,1.05052,0.90983,0.80632,0.87595,0.67573,1.13597,0.55641,1.02065,0.000194306,0.000194306,0.000194306
121,3297.06,0.70325,0.44034,1.04901,0.84076,0.84901,0.87848,0.68958,1.17782,0.55035,1.00405,0.000185979,0.000185979,0.000185979
122,3323.98,0.67647,0.4208,1.05052,0.8912,0.83617,0.87984,0.69194,1.17382,0.58395,0.99132,0.000177813,0.000177813,0.000177813
123,3351.04,0.64731,0.4205,1.04554,0.86889,0.84197,0.88359,0.69995,1.15584,0.54988,1.04158,0.000169812,0.000169812,0.000169812
124,3378.55,0.70629,0.42343,1.02627,0.88425,0.8481,0.87673,0.69707,1.15431,0.57115,1.03026,0.00016198,0.00016198,0.00016198
125,3406,0.66863,0.41671,1.01892,0.86291,0.85738,0.8794,0.69534,1.16771,0.5629,1.03184,0.000154319,0.000154319,0.000154319
126,3433.29,0.66449,0.41188,1.03499,0.91854,0.82195,0.88053,0.69713,1.13487,0.53466,1.02798,0.000146832,0.000146832,0.000146832
127,3460.39,0.69542,0.44611,1.04579,0.89639,0.79734,0.8725,0.69967,1.14029,0.54464,0.9937,0.000139522,0.000139522,0.000139522
128,3487.26,0.69998,0.41559,1.06038,0.84406,0.873,0.87539,0.69419,1.15024,0.55391,1.00417,0.000132392,0.000132392,0.000132392
129,3514.19,0.65752,0.41251,1.03003,0.86515,0.87587,0.88088,0.69181,1.13539,0.53162,1.02325,0.000125444,0.000125444,0.000125444
130,3541.3,0.65696,0.40249,1.04276,0.89872,0.86423,0.88202,0.68731,1.14802,0.53039,1.02247,0.000118682,0.000118682,0.000118682
131,3568.17,0.64263,0.38463,1.03262,0.89604,0.83591,0.88339,0.68534,1.16397,0.51709,1.03366,0.000112107,0.000112107,0.000112107
