epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,182.681,0.56055,7.54922,0.34956,0.54712,1.27173,0.80431,0.94118,0.93648,0.56655,0.1489,0.26471,0.06446,0.01327,1.03916,7.13224,0.59155,1.09496,1.1399,0.0024667,0.0024667,0.0024667
41,186.645,0.52147,7.32115,0.36482,0.50561,1.22076,0.9964,1,0.995,0.76309,0.08951,0.08824,0.03639,0.00959,1.00665,6.22096,0.53544,0.58622,1.16859,0.00244088,0.00244088,0.00244088
42,190.736,0.56677,7.02385,0.34804,0.49042,1.27242,0.99842,0.97059,0.99289,0.72878,0.21204,0.14706,0.08205,0.01425,0.95459,6.24119,0.52973,0.59468,1.11479,0.0024146,0.0024146,0.0024146
43,194.612,0.51506,7.40163,0.34033,0.48718,1.23528,0.9995,1,0.995,0.76196,0.38207,0.35294,0.21414,0.03314,0.95014,5.88063,0.47123,0.59033,1.07226,0.00238786,0.00238786,0.00238786
44,198.565,0.5234,6.966,0.34186,0.49516,1.2367,0.96975,1,0.99443,0.76071,0.17536,0.17647,0.06678,0.01239,0.92615,5.74132,0.41969,0.65295,1.15994,0.00236068,0.00236068,0.00236068
45,202.517,0.51598,6.86671,0.33925,0.47675,1.2392,0.97138,0.99832,0.96729,0.73416,0.29565,0.29412,0.18683,0.03162,0.93115,5.01082,0.4239,0.6592,1.22911,0.00233308,0.00233308,0.00233308
46,206.706,0.49138,6.72729,0.32039,0.47781,1.21229,0.9693,1,0.995,0.80341,0.38116,0.35294,0.23064,0.04589,0.81762,4.80299,0.44883,0.52242,0.98085,0.00230507,0.00230507,0.00230507
47,210.843,0.50244,6.80053,0.31957,0.47581,1.1898,0.99713,1,0.995,0.80827,0.32254,0.32353,0.15332,0.02243,0.7904,5.25692,0.49205,0.67089,1.05218,0.00227666,0.00227666,0.00227666
48,215.016,0.50907,6.69623,0.32765,0.47454,1.22313,0.99633,1,0.995,0.80281,0.24846,0.2626,0.09967,0.02067,0.81546,5.6889,0.48561,0.59445,0.99943,0.00224786,0.00224786,0.00224786
49,219.245,0.51665,6.93424,0.31368,0.48952,1.21128,0.96896,1,0.995,0.78074,0.39899,0.41176,0.26867,0.04647,0.91188,5.01569,0.45762,0.66944,1.15268,0.00221869,0.00221869,0.00221869
50,223.298,0.49527,6.46514,0.31495,0.46222,1.22378,0.99624,1,0.995,0.78534,0.64507,0.64706,0.46554,0.08259,0.79105,4.00785,0.40505,0.59051,1.04145,0.00218918,0.00218918,0.00218918
51,227.627,0.50198,6.79896,0.29915,0.47955,1.22988,0.99758,1,0.995,0.80814,0.42809,0.44034,0.26305,0.05172,0.77505,4.96948,0.42732,0.5205,1.06585,0.00215932,0.00215932,0.00215932
52,231.961,0.50062,6.6214,0.30806,0.45324,1.22029,0.99822,1,0.995,0.79298,0.70454,0.70588,0.52092,0.09165,0.84481,4.22292,0.43488,0.58059,1.13521,0.00212913,0.00212913,0.00212913
53,236.46,0.47316,6.51131,0.2955,0.43717,1.18092,0.99812,1,0.995,0.79717,0.29405,0.29412,0.17983,0.03451,0.84136,4.13827,0.42046,0.59583,1.07707,0.00209864,0.00209864,0.00209864
54,240.86,0.47383,6.60797,0.29179,0.45841,1.1974,0.99797,1,0.995,0.80827,0.70442,0.70588,0.53051,0.11107,0.76779,3.95139,0.44058,0.54309,1.05861,0.00206786,0.00206786,0.00206786
55,245.073,0.45325,6.16208,0.28446,0.43263,1.18208,0.99802,1,0.995,0.80818,0.47959,0.47059,0.31134,0.06148,0.68223,4.15203,0.46729,0.58503,1.04866,0.00203679,0.00203679,0.00203679
56,249.053,0.45475,6.24456,0.28706,0.44702,1.18689,0.99928,1,0.995,0.7857,0.68922,0.67647,0.55977,0.09508,0.74695,4.19345,0.48059,0.63569,1.16908,0.00200546,0.00200546,0.00200546
57,253.073,0.44831,6.24513,0.30083,0.4297,1.18671,0.99722,1,0.995,0.80455,0.73316,0.73529,0.63918,0.12841,0.82585,4.5448,0.42362,0.55325,1.02329,0.00197389,0.00197389,0.00197389
58,257.268,0.44523,6.04412,0.29251,0.4116,1.14813,0.99352,1,0.995,0.77828,0.54516,0.52941,0.39532,0.07483,0.83974,4.37572,0.39353,0.58368,1.09286,0.00194209,0.00194209,0.00194209
59,261.284,0.46894,5.87116,0.28693,0.44321,1.17796,0.96762,1,0.995,0.76997,0.59731,0.61765,0.44808,0.08304,0.77139,4.05512,0.41668,0.61501,1.15443,0.00191006,0.00191006,0.00191006
60,265.295,0.45915,5.75611,0.27418,0.45061,1.17577,0.99681,1,0.995,0.84953,0.67422,0.67647,0.58278,0.12634,0.69343,4.06169,0.42765,0.6099,0.93494,0.00187785,0.00187785,0.00187785
61,269.429,0.41154,5.6737,0.2852,0.42064,1.13276,0.99733,1,0.995,0.84103,0.67459,0.67647,0.53791,0.09709,0.72992,4.38411,0.44936,0.61751,1.07116,0.00184544,0.00184544,0.00184544
62,273.603,0.45555,6.13448,0.2833,0.43487,1.20614,0.9958,1,0.995,0.79632,0.70286,0.70588,0.5458,0.16646,0.92948,3.77733,0.43059,0.55725,1.15948,0.00181288,0.00181288,0.00181288
63,277.61,0.43936,5.91448,0.27275,0.40212,1.16702,0.99709,1,0.995,0.81502,0.82113,0.82353,0.70116,0.20909,0.78279,3.7862,0.41184,0.54474,0.99857,0.00178016,0.00178016,0.00178016
64,281.908,0.44221,5.51089,0.26649,0.43916,1.16003,0.99705,1,0.995,0.82001,0.8211,0.82353,0.70235,0.16587,0.72673,3.70812,0.3818,0.60145,1.1269,0.00174731,0.00174731,0.00174731
65,285.984,0.43739,5.65617,0.27187,0.42946,1.16139,0.99666,1,0.995,0.77746,0.85009,0.85294,0.77844,0.19872,0.77488,3.4212,0.38505,0.57632,1.06588,0.00171434,0.00171434,0.00171434
66,290.1,0.45241,5.78501,0.26141,0.426,1.17614,0.99743,1,0.995,0.83234,0.8507,0.85294,0.7531,0.17762,0.72261,3.71354,0.41868,0.55443,0.94496,0.00168127,0.00168127,0.00168127
67,294.296,0.41864,5.56868,0.26355,0.41383,1.17295,0.99718,1,0.995,0.82107,0.76357,0.76471,0.64395,0.17294,0.78978,3.76097,0.43756,0.52724,0.95427,0.00164811,0.00164811,0.00164811
68,298.339,0.44758,5.52314,0.27722,0.42247,1.16442,0.99815,1,0.995,0.81399,0.77525,0.76471,0.62202,0.13447,0.73982,3.65555,0.42212,0.49809,0.99456,0.00161489,0.00161489,0.00161489
69,302.579,0.44115,5.32585,0.25928,0.40746,1.17662,0.9924,1,0.995,0.84675,0.72821,0.73529,0.62787,0.14961,0.68784,3.20315,0.40019,0.51341,0.96355,0.00158162,0.00158162,0.00158162
70,306.657,0.43519,5.3822,0.25268,0.43039,1.16378,0.99814,1,0.995,0.88382,0.79258,0.79412,0.7236,0.21628,0.6111,3.19656,0.36407,0.52621,0.98834,0.00154832,0.00154832,0.00154832
71,311.092,0.4328,5.48539,0.253,0.41777,1.17156,0.99805,1,0.995,0.86412,0.93934,0.94118,0.90348,0.28026,0.67801,3.10922,0.37064,0.49213,1.10179,0.001515,0.001515,0.001515
72,315.429,0.43178,5.20089,0.26046,0.4187,1.1549,0.99712,1,0.995,0.84481,0.93827,0.94118,0.89726,0.2641,0.69982,3.12515,0.37011,0.53216,1.03637,0.00148168,0.00148168,0.00148168
73,319.435,0.41373,5.15582,0.24275,0.39514,1.13885,0.99821,1,0.995,0.86924,0.9395,0.94118,0.91419,0.31414,0.62826,3.10399,0.3509,0.5354,0.99489,0.00144838,0.00144838,0.00144838
74,323.979,0.41352,5.04664,0.25686,0.39053,1.13046,0.99825,1,0.995,0.88108,0.93953,0.94118,0.93528,0.31009,0.57871,3.1798,0.33596,0.46547,0.9019,0.00141511,0.00141511,0.00141511
75,328.838,0.4359,5.16326,0.26001,0.40553,1.17765,0.9982,1,0.995,0.88692,0.7633,0.76471,0.64678,0.18748,0.55108,3.52934,0.34103,0.48621,0.90828,0.00138189,0.00138189,0.00138189
76,333.255,0.42593,4.86654,0.24377,0.39799,1.13368,0.99799,1,0.995,0.82406,0.90994,0.91176,0.86061,0.30739,0.64953,2.95882,0.34151,0.53403,0.92049,0.00134873,0.00134873,0.00134873
77,337.713,0.39945,4.57565,0.2362,0.37376,1.13292,0.99754,1,0.995,0.88563,0.90952,0.91176,0.89536,0.35372,0.59867,2.79761,0.34942,0.48621,0.93574,0.00131566,0.00131566,0.00131566
78,343.364,0.4214,5.01325,0.24465,0.4039,1.16002,0.99555,1,0.995,0.87391,0.87843,0.88235,0.86784,0.30393,0.66588,2.95483,0.35042,0.50483,1.09003,0.00128269,0.00128269,0.00128269
