epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,357.066,0.29577,0.29095,1.07589,0.99849,1,0.995,0.95389,0.3267,0.3417,0.70946,0.000962144,0.000962144,0.000962144
89,360.714,0.29064,0.2839,1.00882,0.99852,1,0.995,0.94851,0.3399,0.33841,0.68754,0.000931358,0.000931358,0.000931358
90,364.494,0.2898,0.31271,1.03275,0.99831,1,0.995,0.9421,0.29634,0.34259,0.67011,0.000900866,0.000900866,0.000900866
91,368.32,0.29837,0.29054,1.03715,0.99824,1,0.995,0.90845,0.33625,0.29966,0.70209,0.000870683,0.000870683,0.000870683
92,372.158,0.30459,0.28503,1.056,0.99831,1,0.995,0.95874,0.30069,0.29591,0.63183,0.000840824,0.000840824,0.000840824
93,375.997,0.29088,0.26696,1.03819,0.99789,1,0.995,0.96353,0.28124,0.30488,0.61159,0.000811305,0.000811305,0.000811305
94,379.85,0.27431,0.28714,1.03371,0.99833,1,0.995,0.97061,0.31211,0.34892,0.63896,0.00078214,0.00078214,0.00078214
95,383.653,0.26706,0.27374,1.00136,0.99846,1,0.995,0.96303,0.28224,0.33246,0.62283,0.000753345,0.000753345,0.000753345
96,387.473,0.28193,0.27248,1.03973,0.99855,1,0.995,0.9503,0.30061,0.31672,0.6405,0.000724932,0.000724932,0.000724932
97,391.66,0.2772,0.26124,1.0366,0.99867,1,0.995,0.95694,0.29189,0.33474,0.64383,0.000696918,0.000696918,0.000696918
98,395.542,0.27013,0.25739,1.02145,0.99865,1,0.995,0.97666,0.26469,0.34119,0.61784,0.000669316,0.000669316,0.000669316
99,399.725,0.25534,0.25671,1.00799,0.99863,1,0.995,0.97345,0.30396,0.31188,0.64011,0.000642139,0.000642139,0.000642139
100,403.447,0.24851,0.24321,1.00633,0.99893,1,0.995,0.94649,0.30326,0.3384,0.64265,0.000615402,0.000615402,0.000615402
