epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,349.548,0.61715,0.91657,0.53992,1.02122,0,0.97695,0.92934,0.96179,0.80598,0.97774,0.9322,0.96259,0.84109,0.80308,1.07636,0.60444,1.0345,0,0.00198988,0.00198988,0.00198988
47,356.361,0.60748,0.86874,0.52793,1.03483,0,0.97641,0.92869,0.96424,0.83293,0.96707,0.91943,0.96001,0.84452,0.73535,1.07968,0.59819,1.01264,0,0.00196876,0.00196876,0.00196876
48,363.757,0.59513,0.80819,0.5183,1.01779,0,0.95434,0.94048,0.96012,0.83121,0.95933,0.91131,0.95723,0.83781,0.69883,1.00299,0.58044,0.98543,0,0.00194732,0.00194732,0.00194732
49,370.432,0.58985,0.78747,0.50662,1.00506,0,0.97111,0.93372,0.9704,0.8392,0.96982,0.93559,0.97628,0.82937,0.69893,0.98158,0.55256,0.97538,0,0.00192559,0.00192559,0.00192559
50,377.672,0.61206,0.87291,0.51583,1.01697,0,0.96762,0.92495,0.97855,0.8165,0.94587,0.93822,0.97165,0.84917,0.74966,0.89567,0.55287,1.00427,0,0.00190356,0.00190356,0.00190356
51,384.241,0.60879,0.83989,0.51964,1.01676,0,0.9783,0.90622,0.97224,0.82009,0.9614,0.8931,0.959,0.8263,0.78343,0.96659,0.58311,1.02718,0,0.00188125,0.00188125,0.00188125
52,390.541,0.58295,0.81175,0.49763,1.00929,0,0.96714,0.93747,0.96399,0.84053,0.97513,0.94068,0.96987,0.8515,0.69031,0.86484,0.52751,0.98914,0,0.00185867,0.00185867,0.00185867
53,397.499,0.57794,0.8037,0.49212,0.99373,0,0.98196,0.95625,0.98114,0.84758,0.96752,0.93863,0.96755,0.84356,0.69102,0.90813,0.54818,0.96413,0,0.00183583,0.00183583,0.00183583
54,403.674,0.56626,0.77864,0.48143,1.00692,0,0.96858,0.97214,0.98037,0.86391,0.97493,0.93246,0.96657,0.84755,0.65617,0.89498,0.51338,0.96587,0,0.00181274,0.00181274,0.00181274
55,410.197,0.56981,0.80539,0.48148,1.00203,0,0.97153,0.94688,0.97318,0.85447,0.94799,0.92885,0.9604,0.85242,0.69095,0.9011,0.52786,0.98962,0,0.0017894,0.0017894,0.0017894
56,416.938,0.56252,0.78744,0.46718,1.00234,0,0.96332,0.95406,0.9791,0.84361,0.96791,0.95844,0.97467,0.87185,0.69135,0.81401,0.53672,0.95626,0,0.00176584,0.00176584,0.00176584
57,425.471,0.57663,0.79017,0.48264,1.01054,0,0.97391,0.9425,0.97782,0.83387,0.96876,0.93811,0.97033,0.85149,0.71585,0.92375,0.5287,0.98881,0,0.00174205,0.00174205,0.00174205
58,433.512,0.55761,0.76306,0.47517,0.98134,0,0.92742,0.91616,0.97143,0.84352,0.92742,0.91616,0.97574,0.83763,0.69345,0.95056,0.5655,0.97648,0,0.00171805,0.00171805,0.00171805
59,441.899,0.54924,0.79027,0.46208,0.98695,0,0.98577,0.94351,0.97921,0.84887,0.98058,0.93917,0.97391,0.87129,0.66389,0.84574,0.50687,0.9474,0,0.00169386,0.00169386,0.00169386
60,448.343,0.55599,0.75378,0.47264,0.99403,0,0.9721,0.9425,0.97172,0.83902,0.9721,0.9425,0.96686,0.8737,0.7002,0.85705,0.50885,0.96793,0,0.00166947,0.00166947,0.00166947
