epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,297.658,1.04551,0.53125,0.83879,0.93159,0.7162,0.82349,0.51741,1.00199,0.52763,0.85579,0.00186717,0.00186717,0.00186717
56,302.366,1.06915,0.54043,0.85128,0.86955,0.81519,0.84386,0.52902,1.03121,0.53036,0.85898,0.00184585,0.00184585,0.00184585
57,307.192,1.05893,0.53501,0.84194,0.8038,0.79904,0.84284,0.5116,1.11144,0.53927,0.87289,0.00182431,0.00182431,0.00182431
58,312.043,1.02083,0.51252,0.84894,0.81298,0.79031,0.82255,0.52516,1.03659,0.52857,0.87363,0.00180256,0.00180256,0.00180256
59,316.987,1.03899,0.52941,0.86601,0.86267,0.77457,0.83942,0.51565,1.05108,0.50602,0.88855,0.00178059,0.00178059,0.00178059
60,321.976,1.01647,0.51241,0.84829,0.87833,0.80231,0.82378,0.53254,0.9977,0.50463,0.85737,0.00175843,0.00175843,0.00175843
61,326.897,0.97662,0.50835,0.83988,0.903,0.7882,0.8441,0.54602,0.95738,0.51366,0.85182,0.00173607,0.00173607,0.00173607
62,331.661,0.95637,0.49492,0.83795,0.92247,0.81419,0.8618,0.56503,0.93855,0.48725,0.84546,0.00171353,0.00171353,0.00171353
63,336.946,0.93341,0.48943,0.83625,0.89907,0.80574,0.85546,0.56407,0.91976,0.46481,0.84398,0.00169082,0.00169082,0.00169082
64,341.809,0.9417,0.48919,0.82731,0.89771,0.83499,0.84236,0.55054,0.93907,0.48923,0.84829,0.00166794,0.00166794,0.00166794
65,346.948,0.91318,0.47851,0.83152,0.935,0.80254,0.85551,0.53888,0.94635,0.48656,0.84825,0.00164491,0.00164491,0.00164491
66,351.886,0.93079,0.48365,0.83034,0.93952,0.78791,0.85749,0.56281,0.94664,0.48133,0.84738,0.00162173,0.00162173,0.00162173
67,356.58,0.95453,0.48936,0.82742,0.92248,0.74551,0.84876,0.54994,0.94954,0.4957,0.84529,0.00159841,0.00159841,0.00159841
68,361.439,0.95967,0.488,0.83879,0.90211,0.81934,0.8652,0.5533,0.96466,0.49126,0.84744,0.00157496,0.00157496,0.00157496
